MovieID	IDSubtitleFile	MovieName	MovieYear	SeriesSeason	SubHearingImpaired
699	142091	Batman Begins	2005	0	0
702	1414	American Movie	1999	0	0
703	100321	Confessions of a Dangerous Mind	2002	0	1
704	1419	Con Air	1997	0	0
709	1429	In the Line of Fire	1993	0	0
712	1440	The Postman	1997	0	0
713	22581	American Pie 2	2001	0	1
714	200214	I Witness	2003	0	0
719	1453	The Interpreter	2005	0	1
722	76342	The Texas Chainsaw Massacre	2003	0	0
723	1951624959	The Beach	2000	0	0
724	90406	Torque	2004	0	0
1594	20581	Toy Story 2	1999	0	1
1595	92590	Stir of Echoes	1999	0	0
1598	54036	The Messenger: The Story of Joan of Arc	1999	0	0
1600	141800	Legally Blonde	2001	0	0
1601	20297	I Still Know What You Did Last Summer	1998	0	0
1602	75692	American Wedding	2003	0	1
1603	37073	Scooby-Doo	2002	0	0
1604	1951719673	Forever Young	1992	0	0
1606	69805	Stitch! The Movie	2003	0	0
1607	68591	Philadelphia	1993	0	0
1610	154704	The Grey Zone	2001	0	0
1611	1952649357	Mother	1996	0	0
1613	36927	The Watcher	2000	0	1
1615	34379	Gone in 60 Seconds	2000	0	0
1617	1951815000	Natural Born Killers	1994	0	0
1618	108609	The Phantom of the Opera	2004	0	0
1620	88458	Beavis and Butt-Head Do America	1996	0	0
1621	20940	Backdraft	1991	0	1
1622	106997	Aladdin	1992	0	1
2002	1951912464	Dot the I	2003	0	0
2003	1951925376	Lord of the Flies	1990	0	0
2004	256918	Welcome to Collinwood	2002	0	0
2007	316173	Big Momma's House 2	2006	0	0
2008	33124	Riding in Cars with Boys	2001	0	0
2010	176749	Village of the Damned	1995	0	0
2014	99770	Ella Enchanted	2004	0	0
2016	127112	The Merchant of Venice	2004	0	0
2018	96153	Touching the Void	2003	0	0
2019	78088	Grind	2003	0	0
2022	183823	The Fog	2005	0	0
2023	1951712883	Repli-Kate	2002	0	0
2024	73845	How to Deal	2003	0	0
2025	37398	Addicted to Love	1997	0	0
2026	210084	Dead Man Walking	1995	0	0
2027	67507	Waterworld	1995	0	1
2028	1954043709	What Planet Are You From?	2000	0	0
2030	129302	Abandon	2002	0	0
2031	115050	Before Night Falls	2000	0	0
2035	74035	Out of Time	2003	0	0
2036	31245	K-PAX	2001	0	0
2041	56963	Darkness Falls	2003	0	0
2042	68668	The End of the Affair	1999	0	0
2043	102618	Thirteen Days	2000	0	0
2044	93169	The Talented Mr. Ripley	1999	0	0
2046	126845	Husbands and Wives	1992	0	0
2047	34738	The Shawshank Redemption	1994	0	0
2048	80874	Duplex	2003	0	1
2049	146233	Wonder Boys	2000	0	1
2051	27463	Addams Family Values	1993	0	1
2052	38364	Copycat	1995	0	0
2058	110931	The Crow	1994	0	0
2061	26328	Pleasantville	1998	0	0
2062	26812	Tomorrow Never Dies	1997	0	0
2064	22236	Book of Shadows: Blair Witch 2	2000	0	0
2078	310660	Wolf	1994	0	0
2082	36729	Eyes Wide Shut	1999	0	0
2083	50945	Being John Malkovich	1999	0	0
2084	108066	A Cinderella Story	2004	0	0
2085	189581	Vertical Limit	2000	0	0
2095	257259	Regarding Henry	1991	0	0
2098	1957619743	They've Taken Our Children: The Chowchilla Kidnapping	1993	0	1
2102	45729	State and Main	2000	0	0
2103	108899	Super Size Me	2004	0	1
2107	126493	Star Trek: First Contact	1996	0	0
2115	33023	The Sweetest Thing	2002	0	0
2121	139358	Wyatt Earp	1994	0	0
2127	20579	Stuart Little	1999	0	0
2132	1951610863	Phantasm III: Lord of the Dead	1994	0	0
2135	25264	Deep Impact	1998	0	0
2136	1951674489	Kiss the Girls	1997	0	0
2139	42883	Dog Soldiers	2002	0	0
2143	103679	Jersey Girl	2004	0	0
2144	78289	Secondhand Lions	2003	0	0
2147	87635	Absolute Power	1997	0	0
